SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5
1004,Liquid | Hungrybox,2,2,-2,-2,13,2,-2
1017,S2J,1,1,-2,-2,-2,-2,1
1023,Nintendude,1,1,-2,9,-2,-2,-2
1077,Revenge | Gahtzu,2,2,2,5,-2,-2,-2
2088,ycz6,2,2,-2,9,-2,-2,9
3299,Vish,1,0,-2,-2,-1,-2,-2
3602,JLo,1,0,-2,-1,-2,-2,-2
3665,Younger,5,5,17,7,17,9,13
3734,Hulka,1,0,-1,-2,-2,-2,-2
3772,Arcadia,2,1,17,-2,-2,-2,-1
3954,YungWaff,1,1,-2,-2,17,-2,-2
3977,Sicca,1,0,-2,-2,-2,-2,-1
4107,GG | n0ne,2,2,-2,3,1,-2,-2
4176,NathanSandwich,2,1,-1,17,-2,-2,-2
4205,a-on,5,0,-1,-1,-1,-1,-1
4215,rocky,1,1,-2,-2,3,-2,-2
4317,Solomon,2,1,-2,-2,-2,17,-1
4390,CG | Jflex,5,5,5,5,4,3,17
4614,Notorious,2,0,-2,-2,-2,-1,-1
4996,MR. SCAM,1,0,-2,-2,-2,-2,-1
5630,BKB! | stocmoney,4,0,-1,-1,-1,-2,-1
5724,Wassabi,2,0,-1,-2,-2,-1,-2
5869,Joe(y) Bats,5,0,-1,-1,-1,-1,-1
6176,Mova,2,0,-2,-1,-1,-2,-2
7068,mikey,1,0,-2,-1,-2,-2,-2
7149,Trail,1,0,-2,-1,-2,-2,-2
7199,TGL | Shamunt,2,0,-2,-2,-2,-1,-1
7277,Crescent | JSalt,1,1,9,-2,-2,-2,-2
7634,MT,1,1,-2,-2,5,-2,-2
7654,Schnurb,1,0,-2,-2,-1,-2,-2
7977,BokchoyBoy,1,0,-2,-2,-2,-1,-2
10067,icecream,2,0,-2,-2,-2,-1,-1
10228,Flow | Stark,4,0,-2,-1,-1,-1,-1
10362,Elk G | Ivayne,2,0,-2,-2,-1,-1,-2
10468,Reesch,1,0,-2,-2,-2,-2,-1
10485,DD,4,1,7,-1,-1,-1,-2
10520,G,1,0,-2,-2,-1,-2,-2
10529,The Leaf,1,1,7,-2,-2,-2,-2
10562,SFOP,1,0,-2,-2,-1,-2,-2
10971,Brainless  | FLiiNcHy,1,1,17,-2,-2,-2,-2
11458,Tuesday,1,0,-1,-2,-2,-2,-2
11490,Dash,1,0,-2,-1,-2,-2,-2
11603,Arctic,2,0,-2,-2,-1,-1,-2
11945,RULES | Strazz,4,0,-2,-1,-1,-1,-1
12023,El Link,3,0,-1,-1,-1,-2,-2
12048,K8A,4,2,-1,-2,13,9,-1
12137,yingling,2,0,-1,-2,-2,-1,-2
12365,PW | Vincessant,2,0,-1,-2,-2,-1,-2
12817,WU | nerodero,1,0,-2,-2,-2,-1,-2
13639,21! | Ronan,1,0,-2,-1,-2,-2,-2
13746,Baja,1,0,-2,-2,-1,-2,-2
13765,Help,2,0,-2,-1,-1,-2,-2
14305,Nard Dawg,3,0,-2,-1,-1,-1,-2
14514,Howdy,1,0,-2,-2,-2,-1,-2
14592,ZOOK | Suezo,2,1,-2,13,-2,-2,-1
15298,Cowbell,1,0,-2,-1,-2,-2,-2
15447,Jkiller,1,1,-2,-2,17,-2,-2
15504,Umarth,1,1,-2,-2,-2,5,-2
15586,Anjo,2,1,-2,-2,17,-1,-2
15927,jedi093,1,0,-2,-2,-2,-1,-2
15989,DarkHero,1,1,-2,-2,-2,5,-2
16023,soccermom69,2,2,-2,-2,-2,17,13
16393,Higgins,1,0,-2,-2,-2,-1,-2
16468,TTV/Aceflight,1,0,-2,-2,-1,-2,-2
16478,Anjel,1,0,-2,-2,-1,-2,-2
18652,LFTG | Logos,2,2,17,17,-2,-2,-2
18722,K.H.D | REIGN,1,0,-2,-2,-2,-1,-2
19346,mexico629,2,0,-2,-2,-1,-1,-2
21081,Opportunity,1,0,-2,-2,-1,-2,-2
21405,Fire,2,0,-1,-2,-2,-1,-2
22088,Nebulous | Jib,2,0,-1,-2,-1,-2,-2
22333,Redcoat,4,0,-2,-1,-1,-1,-1
22458,Kandayo,3,0,-1,-2,-2,-1,-1
22479,Rei,1,1,-2,-2,-2,-2,13
22595,Aura,3,0,-1,-1,-1,-2,-2
23207,veil,1,0,-2,-2,-2,-2,-1
23422,ZimD00D,1,0,-2,-1,-2,-2,-2
23501,Ratt,2,0,-1,-2,-1,-2,-2
23995,Forrest,1,0,-1,-2,-2,-2,-2
25351,Hell'sLabyrinth,4,0,-1,-2,-1,-1,-1
25463,Creature,1,0,-2,-2,-2,-1,-2
25478,Maruf,2,1,-2,-2,-1,-2,17
