Character,SmashTag,Points
Falco,Younger,315.0
Falco,CG | Peppi | Pappi,287.0
Falco,PEPIS | Noire,254.0
Falco,bobby big ballz,250.0
Falco,LG | Ginger,190.0
Falco,rocky,175.0
Falco,I'm Michael BTW,150.0
Falco,Joey Donuts,150.0
Falco,AB | Anjo,90.0
Falco,LFTG | Logos,77.0
Falco,TBD,72.0
Falco,Light,55.0
Falco,Slowking,54.0
Falco,Fankriss,54.0
Falco,Sodabro,45.0
Falco,SKY | Matwood,40.0
Falco,Ghost Rider,36.0
Falco,yingling,34.0
Falco,PRIN$E,33.0
Falco,YungWaff,31.0
Falco,Chompy,30.0
Falco,Brainless  | FLiiNcHy,29.0
Falco,Elk G | Ivayne,29.0
Falco,Khoron | Oreo,28.0
Falco,shoelegend88,22.0
Falco,YoungHanSolo,22.0
Falco,Mr. Butterfly,20.0
Falco,EWA | ERGonomics,18.0
Falco,DadsAkimbo,17.0
Falco,Help,17.0
Falco,GSP,17.0
Falco,LG | Louis,16.0
Falco,lochist,15.0
Falco,Lamb's Ear,15.0
Falco,jeddo,15.0
Falco,Mova,15.0
Falco,Holy | key,15.0
Falco,Pulch,14.0
Falco,Chuchaka2112,13.0
Falco,diddylonglegs,13.0
Falco,Good1ife,12.0
Falco,JitteryInChurch,12.0
Falco,WU | nerodero,11.0
Falco,Jakespeare,11.0
Falco,Seraph,11.0
Falco,KaiKwonDo,9.0
Falco,SadSack,8.0
Falco,Layer,8.0
Falco,Boalisk,8.0
Falco,STLTS,7.0
Falco,gsm | Pound,7.0
Falco,MIT | unlucky,6.0
Falco,ledgefiend,6.0
Falco,hHerb,6.0
Falco,TourGuide,6.0
Falco,deep_cuts,5.0
Falco,SeshLord Ozai,5.0
Falco,Navedo,5.0
Falco,Pi2z,5.0
Falco,tpyo,4.0
Falco,BK_Rib,4.0
Falco,#215 | Ogre,4.0
Falco,Kelpo,4.0
Falco,91,4.0
Falco,wally,4.0
Falco,Drewski,3.0
Falco,2rk | Turok,3.0
Falco,RitzyCheese,3.0
Falco,niimo,3.0
Falco,kaiyon,3.0
Falco,Arctic,2.0
Falco,Dolfo,2.0
Falco,ali_,2.0
Falco,rickey_kc,2.0
Falco,MK | RedSoul,2.0
Falco,Rama,2.0
Falco,AWaveDash,2.0
Falco,flthd | flatline,2.0
Falco,MacTheStampede,2.0
Falco,ruco,2.0
Falco,Heatedchaos,2.0
Falco,PRD | JMi,1.0
Falco,KOA | youngbool,1.0
Falco,Supreme.Noobs | Edicus,1.0
Marth,KoDoRiN,838.0
Marth,LSD,144.0
Marth,Typhoon,124.0
Marth,Umarth,121.0
Marth,MT,116.0
Marth,Epoodle,110.0
Marth,Arcadia,89.0
Marth,soccermom69,83.0
Marth,Cow,83.0
Marth,a-on,74.0
Marth,MGFC | bootichief,64.0
Marth,Nintendude,63.0
Marth,Mud,59.0
Marth,Ahmad,57.0
Marth,Redcoat,56.0
Marth,Khryke,49.0
Marth,Yamasaki,39.0
Marth,Phantom Airline,34.0
Marth,mikey,23.0
Marth,ArcaneFox,22.0
Marth,ZimD00D,20.0
Marth,Sicca,19.0
Marth,Jun,17.0
Marth,redpandamaster,17.0
Marth,3OutChange,16.0
Marth,charmell0,16.0
Marth,Ribboned Ace,13.0
Marth,Dr. Lame,11.0
Marth,Kandayo,11.0
Marth,Zeeker,9.0
Marth,Floods,7.0
Marth,N8v,6.0
Marth,Zhāoshù,5.0
Marth,Hood,5.0
Marth,JLo,4.0
Marth,kippu,4.0
Marth,ash6,4.0
Marth,Leyo,4.0
Marth,21! | Ronan,3.0
Marth,Hamburglar,3.0
Marth,Ariz,2.0
Marth,BEBO,2.0
Marth,Flame,2.0
Marth,Big Pivot,1.0
Marth,Barry Allen,1.0
Marth,Nips,1.0
Sheik,IMP | Ben,712.0
Sheik,CG | Jflex,677.0
Sheik,ZOOK | Suezo,123.0
Sheik,prof,75.0
Sheik,Crescent | JSalt,70.0
Sheik,Inky,66.0
Sheik,Ellis,55.0
Sheik,Rei,53.0
Sheik,FreeHops,25.0
Sheik,Hell'sLabyrinth,22.0
Sheik,NJ | Tommy,17.0
Sheik,Hulka,15.0
Sheik,aujory,10.0
Sheik,Spiral Cafe | Krudo,8.0
Sheik,UCLA | Suvir,8.0
Sheik,NattyIce,7.0
Sheik,LewdCelebs4Free,6.0
Sheik,SlickSiwik,3.0
Sheik,Mp drago,3.0
Sheik,Beiker,3.0
Sheik,LoneCubone,3.0
Sheik,Blitzkrieg,2.0
Sheik,Shlorp,2.0
Sheik,Anzeray,1.0
Sheik,GSG,1.0
Sheik,djweav2k,1.0
ICs,Trail,31.0
ICs,BKB! | stocmoney,11.0
ICs,Wōlī,9.0
ICs,AHHHHH | Climbers Alice,2.0
Falcon,S2J,430.0
Falcon,GG | n0ne,378.0
Falcon,Revenge | Gahtzu,296.0
Falcon,404 YC | Salt,183.0
Falcon,LFG | PanterA,74.0
Falcon,jacket,73.0
Falcon,NathanSandwich,55.0
Falcon,Neenor,49.0
Falcon,RU | Midnight Blue,46.0
Falcon,LFG | Fist Mexico,37.0
