SmasherID,SmashTag,BWeek1,BWeek2,BWeek3
1016,Fiction,104.0,104.0,293.0
1017,S2J,139.0,246.0,246.0
1019,CLG. | SFAT,197.0,361.0,361.0
1077,Revenge | Gahtzu,168.0,384.0,384.0
1621,bensw,NAN,NAN,2.0
3561,Ginger,235.0,424.0,424.0
3734,Hulka,29.0,29.0,29.0
4127,MIOM | Toph,28.0,28.0,28.0
4197,Uncle Pete,NAN,8.0,8.0
4748,GST | Ryobeat,11.0,11.0,11.0
4864,Theftz,4.0,4.0,8.0
5618,ANTIFA CEO | Quiggles,12.0,35.0,103.0
6700,JCubez,NAN,NAN,93.0
7149,Trail,NAN,NAN,30.0
7201,.Ðempt,NAN,73.0,114.0
10485,DD,42.0,90.0,136.0
10529,The Leaf,NAN,63.0,63.0
11945,Strazz,2.0,7.0,9.0
12137,yingling,16.0,16.0,72.0
12353,Twisty,NAN,65.0,120.0
13622,Blu-J,1.0,1.0,1.0
13748,,NAN,NAN,113.0
13960,RB | V$,NAN,NAN,3.0
14617,DiscipleOfBorp,5.0,5.0,5.0
15298,Cowbell,NAN,NAN,18.0
15948,glum oinkin',NAN,3.0,3.0
16023,soccermom69,NAN,47.0,47.0
16066,TG NBR | Panos,9.0,9.0,9.0
18722,K.H.D | Reign,NAN,3.0,3.0
19346,SonOfJ,NAN,18.0,18.0
21215,Dom,99.0,99.0,99.0
21525,Kaptinkillem,NAN,NAN,11.0
21661,GLR | JAM,NAN,42.0,42.0
23920,GHQ | Zamu,65.0,65.0,65.0
25789,Tourist,NAN,9.0,9.0
26153,DarkGenex,16.0,16.0,16.0
26750,KoDoRiN,113.0,202.0,340.0
27527,Megaman,NAN,16.0,43.0
27862,Musashi,11.0,27.0,27.0
28793,Light,NAN,32.0,32.0
29840,TBD,NAN,34.0,34.0
33387,pointykitty,NAN,2.0,2.0
34266,WOMB#619 | Wombat,NAN,NAN,4.0
36990,Trock,NAN,50.0,50.0
38175,W8ASec,12.0,12.0,12.0
38201,Blue Jay,NAN,NAN,2.0
38567,Android 0,NAN,116.0,116.0
38643,RedX,8.0,8.0,8.0
40403,Pawn,1.0,7.0,10.0
45356,OtES,8.0,8.0,8.0
47866,S.C.E. | Erik,NAN,37.0,37.0
48578,LoneCubone,NAN,NAN,1.0
51608,Vitro,5.0,5.0,5.0
53365,Ringler,2.0,2.0,2.0
54390,Question,NAN,37.0,37.0
60696,FM | Cilan,NAN,33.0,78.0
61873,306 | Polo,28.0,28.0,28.0
61897,LSD,124.0,124.0,362.0
64692,SANS | Blues Clues,55.0,153.0,210.0
65566,Miranda,3.0,3.0,3.0
65777,bobby big ballz,73.0,219.0,383.0
135157,billybopeep,28.0,28.0,28.0
138710,Golden,63.0,63.0,63.0
144133,YBBT | leroydankins,NAN,NAN,4.0
147251,GS | TreyTheTrashman,NAN,4.0,4.0
147811,Dawson,14.0,14.0,14.0
148200,Big Pivot,NAN,1.0,2.0
149952,Jakespeare,NAN,NAN,4.0
150888,Shy,NAN,12.0,12.0
155077,radvillainy,2.0,2.0,2.0
157615,ight,NAN,NAN,19.0
157632,TurboThot,NAN,2.0,10.0
158148,Chewy,3.0,3.0,3.0
183400,Doctor Dank,NAN,3.0,3.0
185618,Captain G,47.0,47.0,47.0
223503,Rigo Bigo,NAN,6.0,6.0
229216,KaiKwonDo,NAN,3.0,3.0
241260,Alex18+,3.0,13.0,13.0
250581,Fizz,NAN,73.0,73.0
255496,ericiscool.net,2.0,2.0,14.0
257025,2Framez,11.0,15.0,15.0
265808,NOOT,9.0,9.0,9.0
268767,markrevival,NAN,NAN,2.0
279722,EP | Justus,34.0,34.0,132.0
286517,Thad <3,10.0,16.0,16.0
288395,jams,5.0,5.0,5.0
294260,ABG | salami,28.0,28.0,28.0
301566,JustJoshin,NAN,4.0,13.0
325974,SDJ,NAN,NAN,64.0
327212,Marrgasm,12.0,43.0,43.0
329160,ZUTH | Zuthane,NAN,NAN,3.0
329937,LanTurN,NAN,NAN,10.0
353165,Milo,15.0,15.0,15.0
357233,Afron,1.0,1.0,1.0
364725,LUNK#783 | dom,NAN,NAN,2.0
391890,TheFormuoli,11.0,11.0,11.0
407878,Slump,8.0,8.0,8.0
413573,John,NAN,NAN,10.0
424095,Frost | JJK,1.0,1.0,1.0
465131,Hunybear,17.0,17.0,17.0
483428,DCG | Spots,NAN,NAN,2.0
508569,eh | sickø,NAN,NAN,6.0
528737,3OutChange,NAN,2.0,2.0
585236,306 | Amrak,11.0,61.0,188.0
617254,N8V,2.0,2.0,2.0
627118,Pipe,11.0,25.0,25.0
641180,Luppi,NAN,2.0,2.0
657464,CowCowCowCowCow,NAN,18.0,40.0
709843,Chem,48.0,48.0,48.0
718293,Nico,NAN,4.0,4.0
735376,CVSmashMods | Ripn,NAN,4.0,4.0
897815,moscow mich,NAN,NAN,8.0
925369,Fishpaste,2.0,2.0,2.0
927948,cliché,67.0,95.0,95.0
1186877,Tomz,NAN,NAN,1.0
2064187,Abhi,NAN,1.0,1.0
2082068,CarltonDanks,1.0,1.0,1.0
2085246,kippu,NAN,4.0,7.0
